study_hours_per_week,attendance_pct,previous_gpa,assignments_completed_pct,sleep_hours_per_night,extracurriculars,parental_support,learning_style,predicted_gpa,performance_grade
18.47699907107863,89.67541614249957,3.065946395820696,65.61832315719838,5.663102370120295,Heavy (5+),Medium,Reading/Writing,5.81,D
14.032149891801707,69.732214255072,4.951306980596897,59.712369658389164,6.242882999514652,Light (1-2),Medium,Kinesthetic,4.77,D
19.53381976670485,65.72701674866539,5.75551003984104,56.2461741531863,5.869527779710906,Light (1-2),Medium,Kinesthetic,5.41,D
25.661208994856178,77.94938313883571,9.897837783212342,86.19498368206696,6.342405017510635,Moderate (3-4),Low,Visual,8.48,B
13.360926376936648,75.44723066212607,7.501795624160764,76.78898453408208,6.743019627146573,Moderate (3-4),Medium,Visual,6.86,C
13.361041301355737,71.20157926009087,4.096133175620196,85.69108096407665,8.00458538359766,Heavy (5+),Medium,Reading/Writing,4.29,F
26.054489708551742,88.44581171185072,7.374865320951747,90.3570902918227,6.6146091535531575,Light (1-2),Low,Auditory,7.24,C
20.37204310407036,92.32957812855766,3.714852819910942,83.984254897588,5.097249151876489,Light (1-2),High,Kinesthetic,6.35,C
11.713679298455336,79.32610329437772,8.448843896996731,89.86644764225561,8.368081415794192,None,Medium,Reading/Writing,7.18,C
18.79792030510175,100.0,5.651975626727818,78.95701570636597,5.995491839661953,Moderate (3-4),High,Kinesthetic,6.43,C
11.756076150312765,60.87466328799742,6.331454860269493,62.19509917541383,6.929535487474445,Light (1-2),Medium,Visual,4.91,D
11.739891725008203,75.09510811080423,8.886433965575943,95.86721271231194,7.5358438083288535,Light (1-2),Medium,Kinesthetic,6.48,C
16.69373590096224,67.24766519095793,4.18310557654835,71.1633180082831,7.239532502083339,Light (1-2),Medium,Auditory,4.94,D
1.6070382873954152,50.0019507439041,3.9851872667966157,65.9660555185636,8.31301545702577,Light (1-2),Medium,Kinesthetic,4.21,F
2.92557517240877,76.7597897123595,5.449521212577191,77.33123186293403,7.574803772071311,None,High,Visual,4.9,D
11.063987295313192,76.17378737425075,8.36908193183477,66.30783621055231,5.966428504363471,Moderate (3-4),Medium,Reading/Writing,5.81,D
7.910182157659033,100.0,3.7651770641416835,73.73854427015851,9.614274608789994,Moderate (3-4),High,Reading/Writing,4.92,D
17.199731328166916,87.46217526832166,1.402119923400976,85.160808823452,7.23320015600588,Light (1-2),High,Auditory,6.04,C
8.643831471351524,62.63719763506192,5.6879140548638025,85.22512608869191,6.8231917280541925,Light (1-2),Medium,Auditory,5.9,D
5.11387409065296,100.0,7.4931334398396565,66.53254900361556,8.156710507666684,Moderate (3-4),High,Kinesthetic,6.26,C
25.259541382450877,96.31550543288029,8.660471149529894,72.68441940576884,7.299341135116086,Light (1-2),Medium,Auditory,7.56,B
13.41956589659425,86.73146555202923,5.666309548246282,96.11499507155366,7.4790738315271925,Light (1-2),High,Reading/Writing,7.07,C
15.472697432815467,74.60273851725252,5.759432107191196,87.44600176600912,9.990620798320824,Light (1-2),High,Visual,7.44,C
5.026762696505802,63.6084114491478,8.577021321660345,100.0,6.669854286093944,Moderate (3-4),Low,Kinesthetic,5.75,D
11.18932092832372,72.4168983589342,3.1344649405482428,97.7019226061229,6.618686927179125,Heavy (5+),High,Reading/Writing,4.99,D
15.776458127969063,94.33122929556279,5.800662604670583,97.16439602839908,7.139894214414957,Moderate (3-4),Medium,Auditory,5.62,D
6.943044958043881,100.0,6.842763001865104,59.181971743162975,8.285819122697246,None,Medium,Visual,5.33,D
17.629886128419702,100.0,7.308593698313062,91.45790527450134,5.192159163771521,Light (1-2),Medium,Reading/Writing,7.21,C
10.795529170568365,70.6672586732059,5.582347952256411,79.20339797454633,4.641332930228193,Heavy (5+),Low,Visual,4.36,F
12.958143751447063,61.205738500664836,6.561993821070514,71.73527294692626,6.295461675255823,None,Medium,Visual,5.59,D
10.788053714394222,80.11329370366806,2.0210107638566184,82.52023010798793,5.0392924491288555,Heavy (5+),High,Reading/Writing,4.55,D
27.965947291562564,51.473409516557226,5.315152857799073,94.17817301917225,6.490202382969234,Heavy (5+),Low,Visual,5.08,D
14.905519426834463,82.84751571277172,7.3163156825980415,87.51247386506317,7.6029996353551486,None,Medium,Visual,5.99,D
7.596023497308698,75.78596120551997,4.731870738341577,66.8228929798691,5.931101363737284,Heavy (5+),Low,Reading/Writing,5.04,D
20.757814384722323,71.00945247197636,6.606171598861275,91.13688370388931,5.287808107862389,Light (1-2),Medium,Visual,6.98,C
6.454094450202845,54.07945399099807,7.304370501444857,70.43618686886055,7.083204594058418,Moderate (3-4),High,Auditory,6.45,C
16.462045165033288,85.70400159854574,5.883411438456023,83.2502467844643,8.035052181538205,Light (1-2),High,Visual,7.13,C
1.2823091328415703,70.00948740507133,6.806834787793828,75.44974898784298,4.966031873780064,Light (1-2),High,Reading/Writing,5.44,D
5.702697657710987,60.451247464345684,4.767081382487698,76.71700622396561,7.984278877967181,Moderate (3-4),Medium,Reading/Writing,5.31,D
16.378028651083866,34.91606680077526,6.128099696547116,91.49364462560764,7.980767444485991,Moderate (3-4),Medium,Reading/Writing,5.42,D
20.169266059967875,77.58727642424046,7.5983891052606,64.39709420276154,8.144902122587954,None,High,Visual,7.18,C
16.199577968329795,100.0,6.782551329743182,100.0,8.462176257846023,Moderate (3-4),High,Visual,7.5,C
14.190462023282317,100.0,5.444243714784916,52.68370896058255,9.64241670959154,Light (1-2),Medium,Visual,4.52,D
12.892274130874979,71.14355615120593,6.903589527723428,71.03498475117715,6.572689541657134,Light (1-2),Medium,Auditory,6.65,C
4.650346067428009,68.9668190945733,7.786297623145913,85.55317834912611,7.131485896093429,Light (1-2),High,Kinesthetic,6.49,C
9.96109054123704,85.03161384112536,2.8101056985605397,88.76471249652965,6.50027388010237,Light (1-2),High,Visual,5.69,D
11.775528603281487,63.02421841217563,8.586333316920616,78.49286419142442,7.002372213706973,Light (1-2),Medium,Visual,6.27,C
22.39985558353241,82.52687849729199,5.89474147037407,79.13913945497687,8.839448026763574,None,High,Visual,7.13,C
17.40532802697923,89.49120417577035,7.265881879832414,86.15825127991425,5.385982619283197,None,Low,Reading/Writing,6.07,C
2.658718912460863,96.40399835826462,8.65504446256141,76.5339578381348,5.9667403934013095,None,Medium,Reading/Writing,6.6,C
17.268587785763565,76.4976888528007,4.030987344985162,100.0,8.652617123805474,Light (1-2),Medium,Reading/Writing,5.35,D
12.304424037085784,74.94489374734552,5.223006195630417,92.59023671347403,8.224043808282508,Heavy (5+),Low,Kinesthetic,5.13,D
